Kepler ID,KOI Name,Kepler Name,Kepler Disposition,NExScI Disposition,RA (J2000),Dec (J2000),Time of Transit Epoch,Period,Transit Depth,Duration,Ingress Duration,Impact Parameter,Inclination,Semi-major Axis,Eccentricity,Long of Periastron,r/R,a/R,Planet Radius,Teq,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Age,Provenance,Quarters,Transit Number,KOI count,Binary Discrimination,Transit Model,Transit Model SNR,Transit Model DOF,Transit Model chisq,Last vet Update,DV Report,DV Summary,Transit Flag,Secondary Flag,Offset Flag,Contamination Flag,Disposition Score
5649836,K03831.01,,FALSE POSITIVE,FALSE POSITIVE,19 56 19.006,+40 49 44.31,131.95669,0.597933142,284383,3.47133,,0.634,73.21,0.014,0,,0.581,2.196,63.46,2161,5780,4.438,0,1,1,,Solar,1.11111E+24,1311,1,-1,Mandel and Agol (2002 ApJ 580 171),1490.3,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005649836/kplr005649836-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005649836/kplr005649836-01-20160209194854_dvs.pdf,0,1,0,0,0
5649837,K04078.01,,FALSE POSITIVE,FALSE POSITIVE,19 56 19.066,+40 49 32.31,131.95507,0.597934463,515,3.1225,,1.224,17.01,0.014,0,,0.246,1.28,23.2,2126,6052,4.539,-0.42,0.863,0.94,,q1_q17_dr25_stellar,1.11111E+31,2232,1,1,Mandel and Agol (2002 ApJ 580 171),72.2,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005649837/kplr005649837-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005649837/kplr005649837-01-20160209194854_dvs.pdf,1,0,1,0,0
5649956,K01540.01,,FALSE POSITIVE,FALSE POSITIVE,19 56 24.785,+40 50 57.48,178.2142,1.207852845,49720,3.5802,,1.113,65.37,0.021,0,,0.443,2.67,38.59,1539,5601,4.533,-0.44,0.797,0.791,,q1_q17_dr25_stellar,1.11111E+30,1083,1,0,Mandel and Agol (2002 ApJ 580 171),205.9,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005649956/kplr005649956-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005649956/kplr005649956-01-20160209194854_dvs.pdf,0,1,0,0,0
5650314,K03731.01,,FALSE POSITIVE,FALSE POSITIVE,19 56 40.949,+40 52 15.81,131.835891,1.070272827,9886.5,4.2844,,1.269,43.29,0.018,0,,0.403,1.744,28.73,1224,4628,4.651,-0.1,0.653,0.723,,q1_q17_dr25_stellar,1.11111E+28,1064,1,0.106,Mandel and Agol (2002 ApJ 580 171),284,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005650314/kplr005650314-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005650314/kplr005650314-01-20160209194854_dvs.pdf,0,0,1,0,0.086
5650420,K05187.01,,FALSE POSITIVE,FALSE POSITIVE,19 56 45.821,+40 49 21.50,131.80328,1.049406508,447.5,3.0072,,0.112,87.68,0.024,0,,0.019,2.766,27.45,4913,4745,2.425,-0.24,13.417,1.747,,q1_q17_dr25_stellar,1.11011E+31,1199,1,0.576,Mandel and Agol (2002 ApJ 580 171),61.3,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005650420/kplr005650420-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005650420/kplr005650420-01-20160209194854_dvs.pdf,0,1,1,0,0
5650930,K05188.01,,FALSE POSITIVE,FALSE POSITIVE,19 57 08.006,+40 50 03.80,312.331,455.195496,293.6,3.565,,0.054,89.95,1.174,0,,0.016,989.4,2.09,290,6478,4.29,-0.4,1.209,1.035,,stellar_q1_q16,,,1,,Mandel and Agol (2002 ApJ 580 171),8,,,12/4/2014 0:00,,,1,0,0,0,
5651104,K00840.01,Kepler-695 b,CANDIDATE,CONFIRMED,19 57 15.864,+40 49 20.57,169.9490106,3.04033046,10858.8,1.8411,,0.736,85.95,0.037,0,,0.104,10.41,8.99,1021,5035,4.519,-0.06,0.791,0.754,,q1_q17_dr25_stellar,1.11111E+31,440,1,0.273,Mandel and Agol (2002 ApJ 580 171),568.2,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005651104/kplr005651104-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005651104/kplr005651104-01-20160209194854_dvs.pdf,0,0,0,0,1
5651829,K04778.01,,CANDIDATE,CANDIDATE,19 57 51.658,+40 53 27.92,132.2074,0.772152075,43.6,1.78,,1.009,26.08,0.016,0,,0.02,1.123,4.44,2966,5951,3.787,-0.8,2.08,0.967,,q1_q17_dr25_stellar,1.11111E+31,1731,1,0.905,Mandel and Agol (2002 ApJ 580 171),13.6,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005651829/kplr005651829-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005651829/kplr005651829-01-20160209194854_dvs.pdf,0,0,0,0,0.965
5651846,K04827.01,,CANDIDATE,CANDIDATE,19 57 52.486,+40 49 47.96,153.83296,31.1920226,447.8,2.849,,0.11,89.93,0.179,0,,0.019,84.8,1.65,521,5675,4.554,-0.54,0.777,0.789,,q1_q17_dr25_stellar,1.11111E+31,46,1,0.78,Mandel and Agol (2002 ApJ 580 171),11.6,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005651846/kplr005651846-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005651846/kplr005651846-01-20160209194854_dvs.pdf,0,0,0,0,0.989
5652237,K00164.01,,FALSE POSITIVE,FALSE POSITIVE,19 58 10.502,+40 51 36.94,132.31538,4.4645454,194.3,2.8823,,0.808,83.64,0.056,0,,0.014,7.3,3.07,1601,6093,3.91,-0.18,1.985,1.168,,q1_q17_dr25_stellar,1.11111E+31,300,1,1.00E-04,Mandel and Agol (2002 ApJ 580 171),37.6,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005652237/kplr005652237-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005652237/kplr005652237-01-20160209194854_dvs.pdf,0,1,1,1,0
